Keyword,neg,neu,pos,compound
fascism,0.078,0.818,0.093,4.821
conservative,0.084,0.8,0.094,5.602
liberal,0.102,0.802,0.1,-0.326
libertarian,0.072,0.605,0.168,24.31
centrist,0.063,0.766,0.095,23.525
communist,0.079,0.774,0.113,1.982
fascist,0.389,1.0,0.141,-20.794
socialism,0.055,0.791,0.08,4.668
communism,0.055,0.831,0.072,2.903
capitalism,0.11,0.788,0.104,-1.792
capitalist,0.088,0.78,0.103,14.144
socialist,0.024,0.65,0.121,11.815
anarchism,0.07,0.769,0.106,10.569
centrism,0.076,0.747,0.111,21.694
anarchist,0.079,0.881,0.072,-3.437
